,德胜学区,什刹海学区,新街口学区,展览路学区,月坛学区,金融街学区,长安街学区,广安门外学区,广安门内-牛街学区,大栅栏-椿树-天桥学区,陶然亭-白纸坊学区
average_price_normal,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221,130278.78940038221
average_price_area,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092,150048.31250727092
average_price_city,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884,152911.26023001884
average_price_country,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558,213677.3336843558
premium_area,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708,19769.523106888708
premium_city,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663,22632.47082963663
premium_country,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359,83398.54428397359
possibility,"[0.01727281 0.00907809 0.0086458  0.01016822 0.01014942 0.00020675
 0.00225543 0.02847477 0.01313786 0.00558218 0.00360868 0.01939667
 0.02044921 0.01225449 0.02371958 0.04482661 0.02932055 0.01518654
 0.0381919  0.02584344 0.00605206 0.03202707 0.06121605 0.0311061
 0.00902171 0.00242458 0.01114557 0.00637158 0.00584532 0.00389061
 0.00447326 0.00541303 0.00932243 0.00360868 0.01334461 0.00496194
 0.01202894 0.01499859 0.0059205  0.00456724 0.00795038 0.00488676
 0.03525984 0.03822949 0.00834508 0.00112771 0.00360868 0.00360868
 0.00169157 0.00244338 0.00249977 0.00622122 0.00417254 0.01734799
 0.00349591 0.01263039 0.00238699 0.01563763 0.02939573 0.00693544
 0.03603045 0.00575134 0.00330796 0.0047364  0.00270651 0.00627761
 0.00191711 0.00218025 0.00101494 0.02806127 0.0015788  0.01353256
 0.00496194 0.00152241 0.00319519 0.00202988 0.00545062 0.00842026
 0.00798797 0.0015788  0.0169157  0.00154121 0.00733014 0.01313786
 0.02544874]","[0.03391594 0.00749064 0.05774032 0.01061174 0.00322514 0.00093633
 0.0116521  0.00239284 0.03079484 0.00998752 0.18206409 0.06814399
 0.00291303 0.00873908 0.00728256 0.00499376 0.00998752 0.01539742
 0.01622971 0.00187266 0.0031211  0.00832293 0.0127965  0.00832293
 0.01331669 0.00166459 0.00187266 0.00686642 0.00187266 0.00166459
 0.00031211 0.00322514 0.02059925 0.00249688 0.00249688 0.01550146
 0.00499376 0.00332917 0.00239284 0.00156055 0.03745318 0.00083229
 0.00093633 0.00561798 0.0073866  0.00135248 0.00041615 0.00062422
 0.03859759 0.00873908 0.01310861 0.00083229 0.00686642 0.00749064
 0.00468165 0.00052018 0.00249688 0.00686642 0.01872659 0.01872659
 0.00062422 0.00520183 0.0062422  0.00561798 0.01706201 0.00083229
 0.01342072 0.00686642 0.00187266 0.00041615 0.00561798 0.02226384
 0.00020807 0.00176862 0.02372035 0.00499376 0.00790678 0.00270495
 0.00270495 0.00561798 0.0093633  0.0116521  0.00083229 0.00395339
 0.0210154  0.02247191 0.00925926 0.00041615]","[2.49642141e-02 4.39736616e-02 3.07472087e-02 7.38047524e-02
 2.61093616e-02 6.92814200e-03 4.63784712e-02 3.27512167e-02
 6.73919267e-02 7.30604065e-02 1.17549384e-01 1.00772975e-02
 3.37818494e-03 7.95877469e-02 3.96793587e-02 5.95476668e-03
 2.63383911e-03 2.12997423e-02 2.17578013e-02 1.31691955e-03
 4.17978815e-03 1.13369596e-02 3.26367020e-03 6.87088463e-03
 1.64901231e-02 1.37417693e-02 8.58860578e-03 3.60721443e-03
 8.81763527e-03 3.49269969e-03 2.29029488e-03 3.03464071e-03
 1.03063269e-03 3.26367020e-03 2.11852276e-03 6.24105354e-03
 2.23303750e-03 1.09934154e-02 8.58860578e-03 5.49670770e-03
 1.83223590e-03 5.72573719e-05 1.20240481e-03 1.66046378e-03
 1.21385628e-02 1.31691955e-02 6.52734040e-03 4.00801603e-03
 8.01603206e-04 2.29029488e-04 1.95820212e-02 5.21042084e-03
 8.76037790e-03 4.69510449e-03 1.94675064e-03 1.94675064e-03
 2.29029488e-03 6.18379616e-03 5.15316347e-03 1.80360721e-02
 1.23675923e-02 1.51159462e-02 2.06126539e-03]","[3.33983779e-02 3.83630016e-03 6.15931929e-03 3.10620843e-03
 3.61063545e-03 1.86107018e-02 9.95579626e-04 6.96905739e-03
 1.09646503e-02 4.24780641e-03 1.52655543e-03 1.00221682e-02
 1.71505184e-02 1.12566870e-02 1.43894442e-02 1.58629020e-02
 1.65929938e-02 1.23584618e-02 2.38806366e-02 3.79116722e-02
 1.18407604e-02 9.80977792e-03 3.82302577e-03 5.33630680e-03
 5.54869712e-03 2.94691569e-03 2.92036690e-03 3.98231851e-03
 2.76107416e-03 3.58408666e-03 9.09296059e-03 9.71685715e-03
 1.59292740e-03 3.34514754e-03 2.12390320e-03 3.18585480e-03
 3.70355621e-03 1.31151023e-02 2.07080562e-03 5.57524591e-03
 7.64605153e-03 4.56639189e-03 4.07523927e-03 4.23453201e-03
 3.58408666e-03 1.13097846e-02 4.46019673e-03 6.83631344e-03
 3.76992819e-03 1.59292740e-03 2.30045266e-02 1.16814676e-02
 2.78762295e-03 1.30885535e-02 1.80531772e-03 1.08850039e-02
 1.21460714e-02 3.43806831e-03 6.23896566e-03 1.35398829e-03
 2.54868384e-03 8.20357612e-03 3.59205129e-02 3.59205129e-02
 5.73453865e-03 1.05133209e-02 4.14161125e-03 3.59205129e-02
 4.77878221e-04 2.38939110e-03 3.54426347e-03 4.18143443e-03
 1.43363466e-03 1.80531772e-03 2.76107416e-03 9.45136925e-03
 8.92039345e-03 9.55756441e-04 2.46903747e-03 3.02656206e-03
 5.97347776e-03 2.33629352e-03 3.22567799e-03 1.80531772e-03
 7.30091726e-04 2.09735441e-03 2.92036690e-03 7.16817331e-03
 2.81417174e-03 3.19912920e-03 4.30090399e-03 1.19469555e-03
 5.97347776e-04 2.64160461e-03 2.54868384e-03 7.04870376e-03
 1.67257377e-03 3.70355621e-03 4.69913584e-03 3.59205129e-02
 2.38806366e-02 1.18407604e-02 3.59205129e-02 1.32743950e-05
 1.18407604e-02 3.70355621e-03 9.55756441e-04 1.59292740e-03
 2.38939110e-03 1.85841530e-03 5.78763623e-03 1.55310422e-02
 3.74337940e-03 9.92924747e-03 2.41593989e-03 6.37170961e-04
 4.91152616e-03 7.51330758e-03 8.20357612e-03 8.20357612e-03
 8.20357612e-03 8.20357612e-03 1.11504918e-03 1.05133209e-02
 2.46903747e-03 3.43806831e-03 2.23009836e-03 3.70355621e-03
 1.91151288e-03 3.70355621e-03 9.55756441e-04 9.95579626e-04
 4.10178806e-03 2.15045199e-03 4.14161125e-03 7.96463701e-04
 1.16814676e-03 1.19469555e-03 3.18585480e-03 5.97347776e-04]","[1.71917137e-02 2.95721991e-03 9.31600883e-03 1.78658985e-02
 6.75717088e-03 8.19747487e-03 1.27482226e-02 1.10321157e-03
 8.88698210e-03 1.30853150e-02 7.72248100e-03 7.06361853e-03
 1.71610689e-02 3.30810248e-02 2.04400588e-02 1.05417995e-02
 1.00974504e-02 3.19471684e-02 2.17424614e-02 1.31925717e-02
 5.20961020e-03 9.28536406e-03 6.61926943e-03 1.28708017e-02
 1.16450110e-02 1.96126502e-03 1.97658740e-03 9.28536406e-03
 6.43540083e-03 4.78058348e-03 1.05571218e-02 8.91762687e-03
 1.08329247e-02 1.08788919e-02 3.46285854e-03 2.95721991e-03
 8.18215249e-03 5.88379505e-03 8.27408679e-03 8.35069870e-03
 3.27592547e-02 2.25239029e-02 1.48014219e-02 1.10474381e-02
 2.66915911e-02 6.61926943e-03 5.05638637e-03 6.06766364e-03
 4.96445207e-03 5.08549890e-02 1.97658740e-03 2.45158127e-02
 2.20642314e-03 5.88379505e-03 5.20961020e-04 4.04510910e-03
 4.56607012e-03 5.05638637e-04 2.48222604e-03 7.14023045e-03
 6.38943368e-03 2.80399608e-03 2.94189752e-03 1.93062025e-03
 1.29627360e-02 1.29627360e-02 3.61608237e-03 1.29627360e-02
 9.79100270e-03 8.94827164e-03 1.29627360e-02 5.08549890e-02
 1.53223829e-05 1.29627360e-02 9.19342976e-04 1.47094876e-03
 5.51605786e-04 5.08549890e-02 1.96126502e-03 3.43221378e-03
 1.47094876e-03 1.53223829e-05 2.94189752e-03 5.20961020e-03
 5.08549890e-02 5.08549890e-02 1.53223829e-05 1.47094876e-03
 1.97658740e-03 3.61608237e-03 1.55828634e-02]","[7.93257313e-03 4.95785821e-05 1.38820030e-03 5.13634110e-02
 3.89687655e-02 1.08081309e-02 4.10510659e-02 1.90381755e-02
 1.98314328e-04 2.79623203e-02 6.25681706e-02 2.59295984e-02
 2.02280615e-02 1.15171046e-01 2.62270699e-02 3.17302925e-03
 1.60634606e-02 8.47793753e-03 1.24938027e-02 9.29102628e-02
 2.47892910e-04 2.57808627e-03 7.73425880e-03 1.78482895e-02
 6.79226574e-02 3.61427863e-02 9.61824492e-03 1.15022310e-02
 7.93257313e-04 2.42935052e-03 5.55280119e-03 7.13931582e-03
 2.72682201e-03 4.46207238e-04 4.34308379e-02 1.78482895e-03
 4.75954388e-03 1.14030739e-02 9.51908775e-03 1.48735746e-03
 5.99900843e-03 2.22607833e-02 6.44521567e-04 4.75954388e-03
 3.56965791e-03 6.34605850e-03 1.34853743e-02 8.72583044e-03
 1.09568666e-02 3.61427863e-02 1.48735746e-03 2.47892910e-04
 9.91571641e-04 3.47050074e-04 1.15022310e-02 1.15022310e-02
 9.51908775e-03 7.93257313e-04 4.95785821e-03 2.62766485e-03
 1.47744175e-02 1.28904313e-03]","[7.19106016e-02 3.68623467e-02 1.39322255e-02 2.65583049e-02
 1.08410130e-01 3.77331108e-02 1.40410710e-01 5.95022132e-03
 6.53073072e-03 1.04491691e-02 5.16653363e-02 1.00863508e-02
 1.39322255e-02 1.99550105e-02 4.61504971e-02 1.21906973e-02
 3.77331108e-03 1.16101879e-03 5.22458457e-03 3.62818373e-03
 4.35382048e-03 2.33655032e-02 6.24047602e-03 2.90254698e-04
 1.02314781e-02 5.23184094e-02 5.87765764e-03 2.03178289e-03
 1.94833466e-01 2.46716494e-03 1.81409187e-03 1.91568101e-02
 1.74152819e-03 2.90254698e-04 2.32203759e-03 2.24947391e-03
 1.45127349e-04 1.55286264e-02 1.55286264e-02 6.24047602e-03
 2.46716494e-03 2.46716494e-03 8.70764095e-04 6.53073072e-04]","[0.00575915 0.00155437 0.00404536 0.00746298 0.00492218 0.00586876
 0.00442399 0.00723381 0.00398557 0.00095654 0.00608796 0.00523106
 0.01210618 0.00496204 0.01135888 0.01567326 0.00385604 0.00478269
 0.00383611 0.00209243 0.01369044 0.00642674 0.00671569 0.0062972
 0.0137303  0.00699468 0.00553995 0.0028995  0.00932624 0.00941591
 0.01066141 0.0092266  0.0161615  0.00361691 0.01406907 0.008011
 0.00866862 0.00880811 0.0044738  0.02044599 0.02600586 0.00755266
 0.01206632 0.01587254 0.03025049 0.01045216 0.0235348  0.00601821
 0.04079233 0.02421235 0.02106375 0.09381041 0.00322831 0.00374644
 0.0007174  0.01195672 0.00179351 0.00432435 0.0016839  0.00089675
 0.00273012 0.00573922 0.00412507 0.00209243 0.00179351 0.01556366
 0.00137502 0.00544031 0.00131524 0.00251091 0.00137502 0.00594847
 0.00095654 0.0048624  0.00125546 0.0104422  0.00349734 0.00378629
 0.00089675 0.00179351 0.00434427 0.00245113 0.03957673 0.0036468
 0.00781172 0.00119567 0.00089675 0.00318846 0.00039856 0.00518124
 0.00484247 0.00191307 0.00358702 0.00269026 0.00100636 0.00176362
 0.00376637 0.00390586 0.02207011 0.01223571 0.00458341 0.00029892
 0.00223192 0.01164783 0.0007174  0.00206253 0.00421474 0.0167394
 0.02510911 0.00191307 0.00131524 0.0010761  0.01004364 0.02415257
 0.0002491  0.00358702 0.0003587  0.00098643 0.00139495 0.00125546
 0.00251091 0.00149459 0.01303282 0.00306889 0.00191307 0.00360694
 0.00125546 0.00119567 0.01164783 0.00100636]","[0.00356662 0.01104953 0.00594437 0.01524555 0.01779814 0.00194066
 0.00604927 0.01571761 0.00965086 0.00729059 0.00867178 0.0050702
 0.00769271 0.00323444 0.01195867 0.00398622 0.02092767 0.01748343
 0.02458171 0.02507124 0.03213455 0.04196024 0.04732766 0.04531706
 0.00566463 0.00293722 0.00167841 0.00753536 0.00965086 0.00545483
 0.01475602 0.00933615 0.00108397 0.00573457 0.00566463 0.00346172
 0.00335682 0.00489536 0.00461563 0.01659178 0.00402119 0.00881165
 0.00480794 0.00528    0.09299439 0.00534993 0.0008392  0.00335682
 0.02262356 0.00319947 0.014249   0.0027449  0.02070039 0.00167841
 0.00267497 0.0004196  0.00106649 0.00019232 0.00699337 0.00493033
 0.00335682 0.00176583 0.00078675 0.00045457 0.00587443 0.00125881
 0.00447576 0.01080476 0.01136423 0.09299439 0.01136423 0.00335682
 0.01299019 0.09299439 0.00104901 0.00335682 0.00526251 0.00522755
 0.01566516 0.00293722 0.00104901 0.0027449  0.00288477 0.00223788
 0.00136371 0.00335682]","[6.22946831e-02 1.11327412e-02 6.02263049e-03 1.88587419e-03
 3.91166809e-02 2.75580971e-02 1.89804112e-02 2.43338606e-04
 5.71237377e-02 1.74595450e-02 1.53181652e-01 1.32011194e-02
 1.73622095e-01 5.20744616e-02 1.24102689e-02 7.30015817e-03
 1.03418907e-03 4.62343351e-03 1.64253559e-02 1.41136391e-02
 1.61820173e-02 1.52086629e-03 1.38094659e-02 2.79839397e-03
 1.70337024e-03 2.92006327e-03 5.04927607e-03 9.73354423e-04
 3.65007909e-03 2.00754350e-03 5.11011072e-03 1.21669303e-03
 6.69181166e-04 8.63852050e-03 1.02202214e-02 1.89804112e-02
 3.83258304e-03 1.09502373e-02 1.97104271e-02 1.46003163e-03
 4.86677211e-04 1.03418907e-03 3.40674048e-03 1.46003163e-03
 1.42353084e-02 1.38094659e-02 7.30015817e-04 6.08346514e-05
 1.88587419e-03 7.90850468e-04 5.11011072e-03 2.43338606e-04
 8.51685120e-04 3.60141136e-02 7.90850468e-04 3.65007909e-03
 1.76420489e-03 4.06375471e-02 3.65007909e-04 2.19004745e-03
 5.47511863e-03 1.82503954e-04 3.07823336e-02 4.86677211e-04
 1.15585838e-03 1.21669303e-04 1.10719066e-02]","[2.65094509e-03 4.83245199e-03 9.27830781e-03 6.71020476e-03
 1.20120949e-02 5.08097809e-03 4.52869786e-03 3.45175142e-03
 3.57601447e-03 6.04746849e-03 9.49921990e-03 8.62937855e-03
 1.27162522e-02 9.69251798e-03 1.25091471e-02 1.51324782e-02
 1.68307399e-02 1.04933243e-02 8.44988747e-03 2.93536941e-02
 1.09903765e-02 9.18165877e-03 2.59157497e-02 1.27576732e-02
 1.53533903e-02 2.79591865e-02 3.84801248e-02 2.85252737e-02
 6.18968064e-02 3.09691137e-02 1.68169329e-02 8.29801041e-03
 3.06515526e-03 7.85618623e-03 5.96462645e-03 5.55041628e-03
 2.84424317e-03 1.07694644e-02 3.28606735e-03 4.08687368e-03
 6.35122261e-03 2.37480498e-03 5.85417041e-03 1.70654590e-02
 4.69438193e-03 7.27629199e-03 4.65296091e-03 3.90738261e-03
 6.21315255e-04 6.61355572e-03 1.00791141e-03 4.44585583e-03
 2.04343684e-03 5.89559142e-03 2.07105085e-03 4.98432905e-03
 6.00604747e-03 7.06918691e-03 9.94104409e-04 6.62736272e-03
 1.56019164e-02 6.21315255e-03 4.45966283e-03 3.72789153e-04
 1.24263051e-03 8.72602759e-03 7.11060792e-03 1.12665166e-02
 8.44988747e-03 7.05537990e-03 3.23083933e-03 7.12441493e-03
 1.32547254e-03 7.77334419e-03 6.79304679e-03 6.24076656e-03
 3.31368136e-03 6.97253787e-03 1.49115661e-03 1.98820882e-03
 1.98820882e-03 1.26334102e-02 4.04269126e-02 8.42227346e-04
 3.86596159e-04 1.14598147e-03 5.79894238e-04 8.93313267e-03
 1.79491074e-03 2.48526102e-03 1.56019164e-02 5.52280227e-03
 1.12389026e-02 1.54638464e-03 5.52280227e-03 1.46906540e-02
 4.14210170e-05 9.11262375e-04 1.12665166e-02 1.46906540e-02
 1.46906540e-02 1.46906540e-02 1.46906540e-02 1.46906540e-02
 1.46906540e-02 4.14210170e-04 8.28420340e-04 3.54840046e-03
 8.28420340e-04 1.65684068e-04 1.38070057e-03 6.76543278e-03
 1.54638464e-03 1.87775277e-03 1.35308656e-03 2.89947119e-03
 2.43003300e-03 2.65094509e-03 1.15978848e-03 3.97641763e-03
 1.79491074e-03 1.32547254e-03]"
min educost,"(44.519863503386965, 36.96296296296297)","(18.42987802919605, 34.352657004830924)","(75.69896757729664, 33.62847222222222)","(71.95644141650007, 39.358024691358025)","(19.286965082410205, 36.54545454545455)","(87.49023449353797, 43.02910052910053)","(82.2411509405677, 31.555555555555554)","(68.55337033695271, 31.39869281045751)","(96.34854015833876, 31.843137254901958)","(69.20324363989883, 27.55050505050505)","(69.89916089565033, 28.86868686868687)"
min timecost,"(22.31604938271605, 32.40740740740741)","(22.080072463768115, 45.1304347826087)","(25.760011574074074, 45.18402777777777)","(20.359567901234566, 39.46913580246913)","(22.16439393939394, 39.43434343434344)","(28.5097442680776, 43.02910052910053)","(26.406851851851854, 31.555555555555554)","(26.407570806100217, 33.287581699346404)","(24.329575163398694, 31.843137254901958)","(25.714436026936028, 27.55050505050505)","(20.03493265993266, 24.31313131313131)"
average eduresource,35.50929006254634,37.07529537353671,38.660180082387,38.367763672503955,38.69960282526169,34.66763961354939,33.23439679429811,32.159950391348026,32.41359258181304,30.09667179152518,27.52356081839562
average educost,170.1042921334481,172.9213999270009,163.25470287289744,159.8104857545834,150.94776420316558,157.3271981317334,156.1651772593484,145.54428717091943,141.76044195991068,143.749122428549,126.70274169984366
average timecost,30.404881213011407,26.756007930572558,30.915515778580968,26.252752443758766,27.33697854500096,32.495915710726905,33.77604361345599,33.93107546542084,28.411247230504,31.16659863222402,26.93334070462403
average edueff,0.008498001639480416,0.018896761465991944,0.03042212562094785,0.029025632831294224,0.07319344845775795,0.004455536102203253,-0.008995583571618183,-0.01838316101400207,-0.01603178338577582,-0.03514682898491712,-0.06532943552814699
average_timeeff,1.3230339208118587,2.3685718994309934,1.4328472637981937,3.2782484126837943,2.295256712463255,0.9078086178192215,0.7126063246804879,0.6152660606699314,0.9937079086240522,0.5574489396398349,0.5302777280610438
average diffdistrict,-4.273539619269468e-18,-1.98703586529666e-15,-8.463859762240551e-15,2.3904524040067405e-15,-1.1705925923775125e-15,-9.46004691427949e-15,-7.798388272528493e-16,-3.405099880344929e-15,1.798810919070275e-15,-2.368763956664648e-16,-2.8956576123124134e-15
average diffxicheng,1.4668406832202978,3.032845994210666,4.617730703060948,4.325314293177913,4.657153445935647,0.6251902342233366,-0.8080525850279381,-1.8824989879780212,-1.6288567975130004,-3.9457775878008654,-6.518888560930427
